city,state_id,state_name,timezone
Adjuntas,PR,Puerto Rico,America/Puerto_Rico
Aguada,PR,Puerto Rico,America/Puerto_Rico
Aguadilla,PR,Puerto Rico,America/Puerto_Rico
Maricao,PR,Puerto Rico,America/Puerto_Rico
Anasco,PR,Puerto Rico,America/Puerto_Rico
Arecibo,PR,Puerto Rico,America/Puerto_Rico
Bajadero,PR,Puerto Rico,America/Puerto_Rico
Barceloneta,PR,Puerto Rico,America/Puerto_Rico
Boqueron,PR,Puerto Rico,America/Puerto_Rico
Cabo Rojo,PR,Puerto Rico,America/Puerto_Rico
Penuelas,PR,Puerto Rico,America/Puerto_Rico
Camuy,PR,Puerto Rico,America/Puerto_Rico
Castaner,PR,Puerto Rico,America/Puerto_Rico
Sabana Grande,PR,Puerto Rico,America/Puerto_Rico
Ciales,PR,Puerto Rico,America/Puerto_Rico
Utuado,PR,Puerto Rico,America/Puerto_Rico
Dorado,PR,Puerto Rico,America/Puerto_Rico
Ensenada,PR,Puerto Rico,America/Puerto_Rico
Florida,PR,Puerto Rico,America/Puerto_Rico
Garrochales,PR,Puerto Rico,America/Puerto_Rico
Guanica,PR,Puerto Rico,America/Puerto_Rico
Guayanilla,PR,Puerto Rico,America/Puerto_Rico
Hatillo,PR,Puerto Rico,America/Puerto_Rico
Hormigueros,PR,Puerto Rico,America/Puerto_Rico
Isabela,PR,Puerto Rico,America/Puerto_Rico
Jayuya,PR,Puerto Rico,America/Puerto_Rico
Lajas,PR,Puerto Rico,America/Puerto_Rico
Lares,PR,Puerto Rico,America/Puerto_Rico
Las Marias,PR,Puerto Rico,America/Puerto_Rico
Manati,PR,Puerto Rico,America/Puerto_Rico
Moca,PR,Puerto Rico,America/Puerto_Rico
Rincon,PR,Puerto Rico,America/Puerto_Rico
Quebradillas,PR,Puerto Rico,America/Puerto_Rico
Mayaguez,PR,Puerto Rico,America/Puerto_Rico
Mayaguez,PR,Puerto Rico,America/Puerto_Rico
San German,PR,Puerto Rico,America/Puerto_Rico
San Sebastian,PR,Puerto Rico,America/Puerto_Rico
Morovis,PR,Puerto Rico,America/Puerto_Rico
Sabana Hoyos,PR,Puerto Rico,America/Puerto_Rico
San Antonio,PR,Puerto Rico,America/Puerto_Rico
Vega Alta,PR,Puerto Rico,America/Puerto_Rico
Vega Baja,PR,Puerto Rico,America/Puerto_Rico
Vega Baja,PR,Puerto Rico,America/Puerto_Rico
Yauco,PR,Puerto Rico,America/Puerto_Rico
Aguas Buenas,PR,Puerto Rico,America/Puerto_Rico
Aguirre,PR,Puerto Rico,America/Puerto_Rico
Aibonito,PR,Puerto Rico,America/Puerto_Rico
Maunabo,PR,Puerto Rico,America/Puerto_Rico
Arroyo,PR,Puerto Rico,America/Puerto_Rico
Mercedita,PR,Puerto Rico,America/Puerto_Rico
Ponce,PR,Puerto Rico,America/Puerto_Rico
Ponce,PR,Puerto Rico,America/Puerto_Rico
Naguabo,PR,Puerto Rico,America/Puerto_Rico
Naranjito,PR,Puerto Rico,America/Puerto_Rico
Orocovis,PR,Puerto Rico,America/Puerto_Rico
Patillas,PR,Puerto Rico,America/Puerto_Rico
Caguas,PR,Puerto Rico,America/Puerto_Rico
Caguas,PR,Puerto Rico,America/Puerto_Rico
Ponce,PR,Puerto Rico,America/Puerto_Rico
Canovanas,PR,Puerto Rico,America/Puerto_Rico
Ponce,PR,Puerto Rico,America/Puerto_Rico
Ponce,PR,Puerto Rico,America/Puerto_Rico
Ceiba,PR,Puerto Rico,America/Puerto_Rico
Cayey,PR,Puerto Rico,America/Puerto_Rico
Fajardo,PR,Puerto Rico,America/Puerto_Rico
Cidra,PR,Puerto Rico,America/Puerto_Rico
Puerto Real,PR,Puerto Rico,America/Puerto_Rico
Punta Santiago,PR,Puerto Rico,America/Puerto_Rico
Rio Grande,PR,Puerto Rico,America/Puerto_Rico
Salinas,PR,Puerto Rico,America/Puerto_Rico
San Lorenzo,PR,Puerto Rico,America/Puerto_Rico
Santa Isabel,PR,Puerto Rico,America/Puerto_Rico
Vieques,PR,Puerto Rico,America/Puerto_Rico
Villalba,PR,Puerto Rico,America/Puerto_Rico
Yabucoa,PR,Puerto Rico,America/Puerto_Rico
Coamo,PR,Puerto Rico,America/Puerto_Rico
Las Piedras,PR,Puerto Rico,America/Puerto_Rico
Loiza,PR,Puerto Rico,America/Puerto_Rico
Luquillo,PR,Puerto Rico,America/Puerto_Rico
Culebra,PR,Puerto Rico,America/Puerto_Rico
Juncos,PR,Puerto Rico,America/Puerto_Rico
Gurabo,PR,Puerto Rico,America/Puerto_Rico
Coto Laurel,PR,Puerto Rico,America/Puerto_Rico
Comerio,PR,Puerto Rico,America/Puerto_Rico
Corozal,PR,Puerto Rico,America/Puerto_Rico
Guayama,PR,Puerto Rico,America/Puerto_Rico
La Plata,PR,Puerto Rico,America/Puerto_Rico
Humacao,PR,Puerto Rico,America/Puerto_Rico
Barranquitas,PR,Puerto Rico,America/Puerto_Rico
Juana Diaz,PR,Puerto Rico,America/Puerto_Rico
St Thomas,VI,Virgin Islands,America/St_Thomas
St Thomas,VI,Virgin Islands,America/St_Thomas
Christiansted,VI,Virgin Islands,America/St_Thomas
Christiansted,VI,Virgin Islands,America/St_Thomas
Christiansted,VI,Virgin Islands,America/St_Thomas
St John,VI,Virgin Islands,America/St_Thomas
St John,VI,Virgin Islands,America/St_Thomas
Frederiksted,VI,Virgin Islands,America/St_Thomas
Frederiksted,VI,Virgin Islands,America/St_Thomas
Kingshill,VI,Virgin Islands,America/St_Thomas
Kingshill,VI,Virgin Islands,America/St_Thomas
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
Fort Buchanan,PR,Puerto Rico,America/Puerto_Rico
San Juan,PR,Puerto Rico,America/Puerto_Rico
Toa Baja,PR,Puerto Rico,America/Puerto_Rico
