zip,type,primary_city,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
501,UNIQUE,Holtsville,NY,Suffolk County,America/New_York,631,NA,US,40.81,-73.04,562
544,UNIQUE,Holtsville,NY,Suffolk County,America/New_York,631,NA,US,40.81,-73.04,0
601,STANDARD,Adjuntas,PR,Adjuntas Municipio,America/Puerto_Rico,"787,939",NA,US,18.16,-66.72,0
602,STANDARD,Aguada,PR,Aguada Municipio,America/Puerto_Rico,"787,939",NA,US,18.38,-67.18,0
603,STANDARD,Aguadilla,PR,Aguadilla Municipio,America/Puerto_Rico,787,NA,US,18.43,-67.15,0
604,PO BOX,Aguadilla,PR,,America/Puerto_Rico,,NA,US,18.43,-67.15,0
605,PO BOX,Aguadilla,PR,,America/Puerto_Rico,,NA,US,18.43,-67.15,0
606,STANDARD,Maricao,PR,Maricao Municipio,America/Puerto_Rico,"787,939",NA,US,18.18,-66.98,0
610,STANDARD,Anasco,PR,Anasco Municipio,America/Puerto_Rico,787,NA,US,18.28,-67.14,0
611,PO BOX,Angeles,PR,,America/Puerto_Rico,,NA,US,18.28,-66.79,0
612,STANDARD,Arecibo,PR,Arecibo Municipio,America/Puerto_Rico,"787,939",NA,US,18.45,-66.73,0
613,PO BOX,Arecibo,PR,,America/Puerto_Rico,,NA,US,18.45,-66.73,0
614,PO BOX,Arecibo,PR,,America/Puerto_Rico,,NA,US,18.45,-66.73,0
616,STANDARD,Bajadero,PR,Arecibo Municipio,America/Puerto_Rico,787,NA,US,18.42,-66.67,0
617,STANDARD,Barceloneta,PR,Barceloneta Municipio,America/Puerto_Rico,787,NA,US,18.45,-66.56,0
622,STANDARD,Boqueron,PR,Cabo Rojo Municipio,America/Puerto_Rico,787,NA,US,17.99,-67.15,0
623,STANDARD,Cabo Rojo,PR,Cabo Rojo Municipio,America/Puerto_Rico,787,NA,US,18.08,-67.14,0
624,STANDARD,Penuelas,PR,Penuelas Municipio,America/Puerto_Rico,787,NA,US,18.06,-66.72,0
627,STANDARD,Camuy,PR,Camuy Municipio,America/Puerto_Rico,787,NA,US,18.48,-66.84,0
631,PO BOX,Castaner,PR,Lares Municipio,America/Puerto_Rico,,NA,US,18.19,-66.82,0
636,PO BOX,Rosario,PR,,America/Puerto_Rico,,NA,US,18.15,-67.06,0
637,STANDARD,Sabana Grande,PR,Sabana Grande Municipio,America/Puerto_Rico,787,NA,US,18.08,-66.96,0
638,STANDARD,Ciales,PR,Ciales Municipio,America/Puerto_Rico,787,NA,US,18.33,-66.47,0
641,STANDARD,Utuado,PR,Utuado Municipio,America/Puerto_Rico,787,NA,US,18.27,-66.7,0
646,STANDARD,Dorado,PR,Dorado Municipio,America/Puerto_Rico,787,NA,US,18.47,-66.27,0
647,STANDARD,Ensenada,PR,Guanica Municipio,America/Puerto_Rico,,NA,US,17.96,-66.94,0
650,STANDARD,Florida,PR,Florida Municipio,America/Puerto_Rico,"787,939",NA,US,18.36,-66.56,0
652,STANDARD,Garrochales,PR,Arecibo Municipio,America/Puerto_Rico,787,NA,US,18.45,-66.6,0
653,STANDARD,Guanica,PR,Guanica Municipio,America/Puerto_Rico,787,NA,US,17.99,-66.89,0
656,STANDARD,Guayanilla,PR,Guayanilla Municipio,America/Puerto_Rico,787,NA,US,18.02,-66.79,0
659,STANDARD,Hatillo,PR,Hatillo Municipio,America/Puerto_Rico,,NA,US,18.48,-66.82,0
660,STANDARD,Hormigueros,PR,Hormigueros Municipio,America/Puerto_Rico,787,NA,US,18.14,-67.12,0
662,STANDARD,Isabela,PR,Isabela Municipio,America/Puerto_Rico,787,NA,US,18.5,-67.02,0
664,STANDARD,Jayuya,PR,Jayuya Municipio,America/Puerto_Rico,787,NA,US,18.22,-66.59,0
667,STANDARD,Lajas,PR,Lajas Municipio,America/Puerto_Rico,"787,939",NA,US,18.04,-67.06,0
669,STANDARD,Lares,PR,Lares Municipio,America/Puerto_Rico,787,NA,US,18.29,-66.88,0
